id,x,y,radius,brightness
1,1828,3999,3,163.6206896551724
2,1718,3797,6,187.45070422535213
3,718,3554,4,199.61256544502618
4,2876,3205,2,196.9558823529412
5,2875,3192,4,204.55731225296444
6,1890,3080,2,202.59022556390977
7,1026,3047,2,200.078853046595
8,2710,2940,5,205.46666666666667
9,1757,2787,3,202.53470437017995
10,650,2754,2,201.773631840796
11,2498,2664,3,202.78190255220417
12,2565,2413,4,204.85833333333332
13,1964,2394,4,208.42911153119093
14,520,2233,1,207.83333333333334
15,2165,2181,4,209.02401372212694
16,2817,2162,2,208.2298657718121
17,1462,2113,2,208.9064039408867
18,1155,2073,2,207.59163987138263
19,1672,1983,3,206.39324116743472
20,1138,1871,3,206.63088235294117
21,180,1802,2,206.15440115440114
22,2718,1761,3,205.898891966759
23,1813,1757,1,205.68225584594222
24,472,1714,2,204.6662162162162
25,1743,1595,1,204.31543624161074
26,1735,1570,3,205.07105943152456
27,1554,1486,2,204.41804320203303
28,2352,1348,3,204.60539215686273
29,2449,1310,3,204.95621301775148
30,1541,1267,2,205.58158508158508
31,1596,1233,2,205.9483352468427
32,1672,923,3,205.07888888888888
33,2539,886,1,204.92596685082873
34,1268,887,2,205.06209150326796
35,2061,569,3,205.61668426610348
36,1774,18,2,204.74270833333333
37,2720,10,3,205.4499494438827
38,742,8,6,206.73684210526315
